,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
32,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,
33,,266.46,124.68,140.02,187.06,248.30,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,
34,,266.46,124.68,140.02,187.06,248.30,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,
35,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,
36,,266.46,124.68,140.02,187.06,248.30,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,
37,,266.46,124.68,140.02,187.06,248.30,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,
38,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,
39,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,
40,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,
41,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,
42,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,
43,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,
44,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,
45,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,
46,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,
47,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,
48,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,
49,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,,,,,,,,,,
1,,112500.80,83798.10,66562.10,71690.40,83026.50,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,
2,,5022.10,4497.50,3770.40,3920.20,2993.80,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,
3,,117522.90,88295.60,70332.50,75610.60,86020.30,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,
4,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,
5,,46670.00,39738.70,33296.90,34636.60,45023.90,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,
6,,39977.20,26390.50,17247.20,18758.10,15019.50,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,
7,,-403.70,-91.90,273.10,-238.10,210.80,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,
8,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,
9,,4605.10,4022.20,3402.90,3383.90,3254.90,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,
10,,2823.30,2786.50,3031.50,3525.70,3018.90,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,
11,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,
12,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,
13,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,
14,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,
15,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,
16,,15809.90,12534.90,10825.00,11767.50,11511.90,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,
17,,8041.10,2914.70,2255.90,3776.90,7980.40,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,
18,,2304.60,1793.50,3004.30,3420.80,2561.00,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,
19,,10345.70,4708.20,5260.20,7197.70,10541.40,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,
20,,186.60,125.90,100.80,132.90,75.80,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,
21,,10159.10,4582.30,5159.40,7064.80,10465.60,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,
22,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,
23,,10159.10,4582.30,5159.40,7064.80,10465.60,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,
24,,2109.90,816.00,929.70,1414.20,2965.00,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,
25,,8049.20,3766.30,4229.70,5650.60,7500.60,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,
26,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,
27,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,
28,,8049.20,3766.30,4229.70,5650.60,7500.60,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,
29,,151.00,151.00,151.00,151.00,151.00,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,
30,,60231.00,53935.00,51215.80,48286.00,45990.50,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,
31,,1800.00,1200.00,900.00,1200.00,1600.00,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,
32,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,
33,,266.46,124.68,140.02,187.06,248.30,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,
34,,266.46,124.68,140.02,187.06,248.30,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,
35,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,
36,,266.46,124.68,140.02,187.06,248.30,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,
37,,266.46,124.68,140.02,187.06,248.30,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,
38,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,
39,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,
40,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,
41,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,
42,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,
43,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,
44,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,
45,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,
46,,,,,,,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,
47,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,
48,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,
49,,--,--,--,--,--,,2020,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,,,,,,,,,,
1,,112500.80,83798.10,66562.10,71690.40,83026.50,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,
2,,5022.10,4497.50,3770.40,3920.20,2993.80,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,
3,,117522.90,88295.60,70332.50,75610.60,86020.30,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,
4,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,
5,,46670.00,39738.70,33296.90,34636.60,45023.90,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,
6,,39977.20,26390.50,17247.20,18758.10,15019.50,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,
7,,-403.70,-91.90,273.10,-238.10,210.80,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,
8,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,
9,,4605.10,4022.20,3402.90,3383.90,3254.90,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,
10,,2823.30,2786.50,3031.50,3525.70,3018.90,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,
11,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,
12,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,
13,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,
14,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,
15,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,
16,,15809.90,12534.90,10825.00,11767.50,11511.90,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,
17,,8041.10,2914.70,2255.90,3776.90,7980.40,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,
18,,2304.60,1793.50,3004.30,3420.80,2561.00,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,
19,,10345.70,4708.20,5260.20,7197.70,10541.40,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,
20,,186.60,125.90,100.80,132.90,75.80,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,
21,,10159.10,4582.30,5159.40,7064.80,10465.60,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,
22,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,
23,,10159.10,4582.30,5159.40,7064.80,10465.60,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,
24,,2109.90,816.00,929.70,1414.20,2965.00,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,
25,,8049.20,3766.30,4229.70,5650.60,7500.60,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,
26,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,
27,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,
28,,8049.20,3766.30,4229.70,5650.60,7500.60,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,
29,,151.00,151.00,151.00,151.00,151.00,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,
30,,60231.00,53935.00,51215.80,48286.00,45990.50,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,
31,,1800.00,1200.00,900.00,1200.00,1600.00,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,
32,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,
33,,266.46,124.68,140.02,187.06,248.30,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,
34,,266.46,124.68,140.02,187.06,248.30,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,
35,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,
36,,266.46,124.68,140.02,187.06,248.30,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,
37,,266.46,124.68,140.02,187.06,248.30,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,
38,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,
39,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,
40,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,
41,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,
42,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,
43,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,
44,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,
45,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,
46,,,,,,,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,
47,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,
48,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,
49,,--,--,--,--,--,,2021,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,,,,,,,,,,
1,,112500.80,83798.10,66562.10,71690.40,83026.50,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,
2,,5022.10,4497.50,3770.40,3920.20,2993.80,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,
3,,117522.90,88295.60,70332.50,75610.60,86020.30,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,
4,,,,,,,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,
5,,46670.00,39738.70,33296.90,34636.60,45023.90,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,
6,,39977.20,26390.50,17247.20,18758.10,15019.50,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,
7,,-403.70,-91.90,273.10,-238.10,210.80,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,
8,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,
9,,4605.10,4022.20,3402.90,3383.90,3254.90,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,
10,,2823.30,2786.50,3031.50,3525.70,3018.90,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,
11,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,
12,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,
13,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,
14,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,
15,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,
16,,15809.90,12534.90,10825.00,11767.50,11511.90,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,
17,,8041.10,2914.70,2255.90,3776.90,7980.40,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,
18,,2304.60,1793.50,3004.30,3420.80,2561.00,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,
19,,10345.70,4708.20,5260.20,7197.70,10541.40,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,
20,,186.60,125.90,100.80,132.90,75.80,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,
21,,10159.10,4582.30,5159.40,7064.80,10465.60,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,
22,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,
23,,10159.10,4582.30,5159.40,7064.80,10465.60,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,
24,,2109.90,816.00,929.70,1414.20,2965.00,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,
25,,8049.20,3766.30,4229.70,5650.60,7500.60,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,
26,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,
27,,--,--,--,--,--,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,
28,,8049.20,3766.30,4229.70,5650.60,7500.60,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,
29,,151.00,151.00,151.00,151.00,151.00,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,
30,,60231.00,53935.00,51215.80,48286.00,45990.50,,2022,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,
